Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
642db37b3b7c5a54ec009635,60a2dcbec46f3208f0e75edd,APPROVED,2023-04-05T17:44:27.110000Z,2023-04-05T19:10:36.359000Z,2023-04-05T19:10:40.379000,2023-04-05T19:10:40.309193Z,5170,C16AD8BI,238,"Portuguese, English",High school diploma/A-levels,22,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Other
642db37d15664c2b94939c8f,5f10d1960878f0401ddc72ba,APPROVED,2023-04-05T17:47:45.143000Z,2023-04-05T18:08:48.755000Z,2023-04-05T18:08:49.455000,2023-04-05T18:08:49.374005Z,1264,C16AD8BI,250,"English, Greek, German",Graduate degree (MA/MSc/MPhil/other),26,Female,White,Greece,Greece,Greece,Greek,No,Full-Time
642db38a0ea0d00ffcf20543,5a081034ab721b0001ef7952,APPROVED,2023-04-05T17:44:50.536000Z,2023-04-05T18:20:51.475000Z,2023-04-05T18:20:51.937000Z,2023-04-05T18:20:52.114941Z,2161,C16AD8BI,412,"English, Spanish",Undergraduate degree (BA/BSc/other),52,Female,White,Ireland,Spain,Ireland,English,No,Full-Time
642db38cb9d6c62edd1aa1fd,5f16125c73920477380e8c00,APPROVED,2023-04-05T17:44:48.136000Z,2023-04-05T17:58:35.815000Z,2023-04-05T17:58:36.264000,2023-04-05T17:58:36.176059Z,828,C16AD8BI,157,English,Undergraduate degree (BA/BSc/other),32,Female,White,United Kingdom,Greece,United Kingdom,English,No,Full-Time
642db39593b6f95f402a1a9b,60fef19b9c12d84b5a87fa1d,APPROVED,2023-04-05T17:44:53.692000Z,2023-04-05T17:59:41.418000Z,2023-04-05T17:59:43.744000,2023-04-05T17:59:43.640505Z,888,C16AD8BI,184,"Polish, English",Undergraduate degree (BA/BSc/other),24,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
642db3ac63ed69ec492019ad,6155d0cafa46f83b2716f453,APPROVED,2023-04-05T17:51:25.625000Z,2023-04-05T18:26:57.491000Z,2023-04-05T18:27:01.201000,2023-04-05T18:27:01.136298Z,2132,C16AD8BI,113,English,High school diploma/A-levels,21,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
642db5896484eac44fb3c6dc,60832c401f9b0439e333066b,APPROVED,2023-04-05T17:53:13.353000Z,2023-04-05T18:18:18.411000Z,2023-04-05T18:18:22.216000,2023-04-05T18:18:22.143539Z,1506,C16AD8BI,183,"Portuguese, Spanish, English",Graduate degree (MA/MSc/MPhil/other),27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
642db632e4299215eced1f5b,611ed2c05be8517aa0d6076b,APPROVED,2023-04-05T17:56:02.297000Z,2023-04-05T18:53:42.567000Z,2023-04-05T18:53:43.076000,2023-04-05T18:53:43.009574Z,3461,C16AD8BI,355,"English, Portuguese, Spanish",Undergraduate degree (BA/BSc/other),22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
642db8005d809096356f2879,60e93f64ec69ecdac3107555,APPROVED,2023-04-05T18:04:02.729000Z,2023-04-05T18:36:47.144000Z,2023-04-05T18:36:48.260000,2023-04-05T18:36:48.182471Z,1965,C16AD8BI,298,"English, Latvian, Russian",High school diploma/A-levels,21,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,Part-Time
642dcc456a9d26a0dded1f2b,5eab2dbd0c7a950efa32c3dc,APPROVED,2023-04-05T19:31:18.597000Z,2023-04-05T20:09:33.386000Z,2023-04-05T20:09:34.093000,2023-04-05T20:09:34.033114Z,2295,C16AD8BI,311,English,High school diploma/A-levels,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
